Título,Preço,Classificação,Categoria
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",£45.95,Two,Default
Twenty Yawns,£22.08,Two,Childrens
Through the Woods,£25.38,Two,Sequential Art
This Is Where It Ends,£27.12,Two,Young Adult
The Year of Magical Thinking,£43.04,Two,Nonfiction
The Wright Brothers,£56.80,Four,Default
The White Queen (The Cousins' War #1),£25.91,Five,Add a comment
The Wedding Pact (The O'Malleys #2),£32.61,Three,Romance
The Time Keeper,£27.88,Five,Fiction
The Testament of Mary,£52.67,Four,Fiction
The Star-Touched Queen,£46.02,Five,Fantasy
The Songs of the Gods,£44.48,Five,Default
The Song of Achilles,£37.40,Five,Add a comment
The Rosie Project (Don Tillman #1),£54.04,One,Default
The Power of Habit: Why We Do What We Do in Life and Business,£16.88,Three,Default
The Marriage of Opposites,£28.08,Four,Historical Fiction
The Lucifer Effect: Understanding How Good People Turn Evil,£10.40,One,Psychology
The Long Haul (Diary of a Wimpy Kid #9),£44.07,One,Humor
The Loney,£23.40,One,Horror
The Literature Book (Big Ideas Simply Explained),£17.43,Three,Nonfiction
The Last Mile (Amos Decker #2),£54.21,Two,Mystery
The Immortal Life of Henrietta Lacks,£40.67,Two,Add a comment
The Hidden Oracle (The Trials of Apollo #1),£52.26,Two,Fantasy
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,£28.77,Three,Food and Drink
The Guilty (Will Robie #4),£13.82,Two,Thriller
The First Hostage (J.B. Collins #2),£25.85,Three,Fiction
The Dovekeepers,£48.78,One,Add a comment
The Darkest Lie,£35.35,Five,Young Adult
The Bane Chronicles (The Bane Chronicles #1-11),£44.73,Four,Fantasy
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the World’s Most Precious Manuscripts,£15.77,One,Nonfiction
The 14th Colony (Cotton Malone #11),£39.24,One,Thriller
That Darkness (Gardiner and Renner #1),£13.92,One,Mystery
Tastes Like Fear (DI Marnie Rome #3),£10.69,One,Mystery
Take Me with You,£45.21,Three,Fiction
Swell: A Year of Waves,£45.58,One,Nonfiction
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),£11.89,Five,Sequential Art
Still Life with Bread Crumbs,£26.41,Three,Fiction
Steve Jobs,£39.50,Five,Default
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,£44.74,Four,Science
Someone Like You (The Harrisons #2),£52.79,Five,Contemporary
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",£35.43,Four,Sequential Art
Shtum,£55.84,Four,Fiction
See America: A Celebration of Our National Parks & Treasured Sites,£48.87,Three,Travel
salt.,£46.78,Four,Poetry
Robin War,£47.82,Three,Sequential Art
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",£25.48,Two,Sequential Art
Rain Fish,£23.57,Three,Childrens
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",£50.89,Five,Poetry
Pet Sematary,£10.56,Three,Horror
"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",£52.15,Three,Self Help
Once Was a Time,£18.28,Two,Childrens
Old School (Diary of a Wimpy Kid #10),£11.83,Five,Humor
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,£21.95,Two,Nonfiction
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",£38.39,Two,Sequential Art
My Name Is Lucy Barton,£41.56,One,Fiction
My Mrs. Brown,£24.48,Three,Fiction
My Kind of Crazy,£40.36,One,Young Adult
Mr. Mercedes (Bill Hodges Trilogy #1),£28.90,One,Fiction
More Than Music (Chasing the Dream #1),£37.61,Two,Add a comment
Made to Stick: Why Some Ideas Survive and Others Die,£38.85,Five,Business
Luis Paints the World,£53.95,Three,Childrens
Luckiest Girl Alive,£49.83,Three,Default
Lowriders to the Center of the Earth (Lowriders in Space #2),£51.51,Two,Sequential Art
Love Is a Mix Tape (Music #1),£18.03,One,Music
Looking for Lovely: Collecting the Moments that Matter,£29.14,Five,Nonfiction
"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",£46.91,Four,Default
Let It Out: A Journey Through Journaling,£26.79,Five,Nonfiction
Lady Midnight (The Dark Artifices #1),£16.28,Five,Default
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",£19.55,One,Food and Drink
Island of Dragons (Unwanteds #7),£29.65,One,Fantasy
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,£25.98,Four,Humor
I Am Pilgrim (Pilgrim #1),£10.60,Four,Fiction
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",£14.75,Five,Humor
"Hush, Hush (Hush, Hush #1)",£47.02,Three,Default
Hold Your Breath (Search and Rescue #1),£28.82,One,Romance
Hamilton: The Revolution,£58.79,Three,Nonfiction
Greek Mythic History,£10.23,Five,Default
God: The Most Unpleasant Character in All Fiction,£30.03,Five,Religion
Glory over Everything: Beyond The Kitchen House,£45.84,Three,Historical Fiction
Feathers: Displays of Brilliant Plumage,£49.05,Three,Art
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",£15.06,Four,Nonfiction
Every Last Word,£46.47,Three,Default
Eligible (The Austen Project #4),£27.09,Three,Fiction
El Deafo,£57.62,Five,Sequential Art
Eight Hundred Grapes,£14.39,Four,Fiction
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",£51.75,Five,Nonfiction
"Eat Fat, Get Thin",£54.07,Two,Health
Don't Get Caught,£55.35,One,Young Adult
Doctor Sleep (The Shining #2),£40.12,Two,Horror
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),£37.51,Five,Fantasy
Dear Mr. Knightley,£11.21,Five,Fiction
Daily Fantasy Sports,£36.58,One,Default
Crazy Love: Overwhelmed by a Relentless God,£47.72,Two,Christian
Cometh the Hour (The Clifton Chronicles #6),£25.01,Three,Fiction
Code Name Verity (Code Name Verity #1),£22.13,Four,Add a comment
Clockwork Angel (The Infernal Devices #1),£44.14,One,Default
City of Glass (The Mortal Instruments #3),£56.02,Four,Fantasy
City of Fallen Angels (The Mortal Instruments #4),£11.23,Four,Default
City of Bones (The Mortal Instruments #1),£43.28,One,Default
City of Ashes (The Mortal Instruments #2),£47.27,One,Default
Cell,£20.29,Four,Add a comment
Catching Jordan (Hundred Oaks),£50.83,Three,Young Adult
"Carry On, Warrior: Thoughts on Life Unarmed",£31.85,Three,Default
Carrie,£46.23,Two,Default
Buying In: The Secret Dialogue Between What We Buy and Who We Are,£37.80,Four,Nonfiction
Brain on Fire: My Month of Madness,£49.32,Five,Nonfiction
Batman: Europa,£32.01,Two,Sequential Art
Barefoot Contessa Back to Basics,£28.01,One,Food and Drink
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,£50.62,Five,Food and Drink
Balloon Animals,£17.03,Three,Fiction
Art Ops Vol. 1,£48.80,Three,Sequential Art
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),£58.14,Four,Young Adult
Angels Walking (Angels Walking #1),£34.20,Two,Add a comment
Angels & Demons (Robert Langdon #1),£51.48,Three,Default
All the Light We Cannot See,£29.87,Five,Historical
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",£10.90,Two,Sequential Art
Abstract City,£56.37,Five,Nonfiction
A Time of Torment (Charlie Parker #14),£48.35,Five,Mystery
A Study in Scarlet (Sherlock Holmes #1),£16.73,Two,Mystery
"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",£56.48,Two,Add a comment
A People's History of the United States,£40.79,Two,Add a comment
A Man Called Ove,£39.72,One,Fiction
A Distant Mirror: The Calamitous 14th Century,£14.58,Three,History
A Brush of Wings (Angels Walking #3),£55.51,One,Add a comment
1491: New Revelations of the Americas Before Columbus,£21.80,Three,History
"The Three Searches, Meaning, and the Story",£13.33,Three,Default
Searching for Meaning in Gailana,£38.73,One,Fantasy
Rook,£37.86,Four,Add a comment
My Kitchen Year: 136 Recipes That Saved My Life,£11.53,Two,Food and Drink
13 Hours: The Inside Account of What Really Happened In Benghazi,£27.06,One,Nonfiction
Will You Won't You Want Me?,£13.86,Three,Womens Fiction
Tipping Point for Planet Earth: How Close Are We to the Edge?,£37.55,One,Science
The Star-Touched Queen,£32.30,Five,Fantasy
The Silent Sister (Riley MacPherson #1),£46.29,Five,Fiction
The Midnight Watch: A Novel of the Titanic and the Californian,£26.20,One,Add a comment
The Lonely City: Adventures in the Art of Being Alone,£33.26,Two,Nonfiction
The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,£59.15,Four,Add a comment
The Golden Condom: And Other Essays on Love Lost and Found,£39.43,One,Psychology
The Epidemic (The Program 0.6),£14.44,Five,Young Adult
The Dinner Party,£56.54,Two,Fiction
The Diary of a Young Girl,£59.90,Three,Nonfiction
The Children,£11.88,Three,Add a comment
Stars Above (The Lunar Chronicles #4.5),£48.05,Two,Young Adult
Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,£21.21,Three,Nonfiction
Raspberry Pi Electronics Projects for the Evil Genius,£49.67,Four,Default
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,£43.14,One,Business
Psycho: Sanitarium (Psycho #1.5),£36.97,Five,Horror
Poisonous (Max Revere Novels #3),£26.80,Three,Mystery
One with You (Crossfire #5),£15.71,Four,Add a comment
No Love Allowed (Dodge Cove #1),£54.65,Four,Young Adult
Murder at the 42nd Street Library (Raymond Ambler #1),£54.36,Four,Mystery
Most Wanted,£35.28,Three,Mystery
"Love, Lies and Spies",£20.55,Two,Historical Fiction
How to Speak Golf: An Illustrated Guide to Links Lingo,£58.32,Five,Default
Hide Away (Eve Duncan #20),£11.84,One,Mystery
Furiously Happy: A Funny Book About Horrible Things,£41.46,Four,Nonfiction
Everyday Italian: 125 Simple and Delicious Recipes,£20.10,Five,Food and Drink
Equal Is Unfair: America's Misguided Fight Against Income Inequality,£56.86,One,Politics
Eleanor & Park,£56.51,Five,Default
Dirty (Dive Bar #1),£40.83,Four,Romance
Can You Keep a Secret? (Fear Street Relaunch #4),£48.64,One,Horror
Boar Island (Anna Pigeon #19),£59.48,Three,Mystery
A Paris Apartment,£39.01,Four,Historical Fiction
"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",£38.77,One,Food and Drink
Troublemaker: Surviving Hollywood and Scientology,£48.39,Two,Default
The Widow,£27.26,Two,Mystery
"The Sleep Revolution: Transforming Your Life, One Night at a Time",£11.68,Four,Nonfiction
The Improbability of Love,£59.45,One,Fiction
The Art of Startup Fundraising,£21.00,Three,Business
Take Me Home Tonight (Rock Star Romance #3),£53.98,Three,Romance
Sleeping Giants (Themis Files #1),£48.74,One,Science Fiction
"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",£21.15,Two,Biography
Playing with Fire,£13.71,Three,Mystery
Off the Hook (Fishing for Trouble #1),£47.67,Three,Romance
Mothering Sunday,£13.34,Two,Fiction
"Mother, Can You Not?",£16.89,Five,Nonfiction
M Train,£27.18,One,Autobiography
Lilac Girls,£17.28,Two,Historical Fiction
Lies and Other Acts of Love,£45.14,One,Fiction
Lab Girl,£40.85,One,Autobiography
Keep Me Posted,£20.46,Four,Womens Fiction
It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,£56.27,Three,Psychology
Grey (Fifty Shades #4),£48.49,Four,Womens Fiction
"Exit, Pursued by a Bear",£51.34,Four,Young Adult
Daredevils,£16.34,Three,Fiction
Cravings: Recipes for What You Want to Eat,£20.50,Three,Food and Drink
Born for This: How to Find the Work You Were Meant to Do,£21.59,Five,Business
Arena,£21.36,Four,Science Fiction
Adultery,£20.88,Five,Default
A Mother's Reckoning: Living in the Aftermath of Tragedy,£19.53,Three,Nonfiction
A Gentleman's Position (Society of Gentlemen #3),£14.75,Five,Romance
11/22/63,£48.48,Three,Fiction
